Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
65,Jordan Love,QB,GB,10,10,2,6
66,Najee Harris,RB,PIT,9,22,3,6
67,Calvin Ridley,WR,TEN,5,31,4,6
68,Zamir White,RB,LV,10,23,3,6
69,Raheem Mostert,RB,MIA,6,24,3,6
70,George Kittle,TE,SF,9,5,1,6
71,Christian Kirk,WR,JAC,12,32,5,6
72,Terry McLaurin,WR,WSH,14,33,5,6
73,Jayden Reed,WR,GB,10,34,5,6
74,Brock Purdy,QB,SF,9,11,2,6
75,Brian Robinson,RB,WSH,14,25,4,7
76,Keenan Allen,WR,CHI,7,35,5,7
77,Diontae Johnson,WR,CAR,11,36,5,7
78,Chris Godwin,WR,TB,11,37,5,7
79,Dalton Kincaid,TE,BUF,12,6,1,7
80,Kyle Pitts,TE,ATL,12,7,1,7
81,Jayden Daniels,QB,WSH,14,12,2,7
82,Christian Watson,WR,GB,10,38,5,7
83,Xavier Worthy,WR,KC,6,39,5,7
84,Tony Pollard,RB,TEN,5,26,4,7
85,D'Andre Swift,RB,CHI,7,27,4,7
86,Tua Tagovailoa,QB,MIA,6,13,2,7
87,Jared Goff,QB,DET,5,14,2,7
88,DeAndre Hopkins,WR,TEN,5,40,5,7
89,Zack Moss,RB,CIN,12,28,4,7
90,Devin Singletary,RB,NYG,11,29,4,8
91,Jake Ferguson,TE,DAL,7,8,2,8
92,Evan Engram,TE,JAC,12,9,2,8
93,Jaylen Warren,RB,PIT,9,30,4,8
94,David Njoku,TE,CLE,10,10,2,8
95,Brock Bowers,TE,LV,10,11,2,8
96,Dalton Schultz,TE,HOU,14,12,2,8
97,Gus Edwards,RB,LAC,5,31,4,8
98,Javonte Williams,RB,DEN,14,32,4,8
99,Jonathon Brooks,RB,CAR,11,33,4,8
100,Caleb Williams,QB,CHI,7,15,3,8
101,Justin Herbert,QB,LAC,5,16,3,8
102,Trevor Lawrence,QB,JAC,12,17,3,8
103,Jordan Addison,WR,MIN,6,41,6,8
104,Rome Odunze,WR,CHI,7,42,6,8
105,Ladd McConkey,WR,LAC,5,43,6,9
106,Hollywood Brown,WR,KC,6,44,6,9
107,Kirk Cousins,QB,ATL,12,18,3,9
108,Dallas Goedert,TE,PHI,5,13,2,9
109,Pat Freiermuth,TE,PIT,9,14,2,9
110,T.J. Hockenson,TE,MIN,6,15,2,9
111,Jaxon Smith-Njigba,WR,SEA,10,45,6,9
112,Courtland Sutton,WR,DEN,14,46,6,9
113,Brian Thomas,WR,JAC,12,47,6,9
114,Jameson Williams,WR,DET,5,48,6,9
115,Matthew Stafford,QB,LAR,6,19,3,9
116,Tyjae Spears,RB,TEN,5,34,5,9
117,Jerome Ford,RB,CLE,10,35,5,9
118,Ezekiel Elliott,RB,DAL,7,36,5,9
119,Chase Brown,RB,CIN,12,37,5,9
120,Aaron Rodgers,QB,NYJ,12,20,3,9
121,Austin Ekeler,RB,WSH,14,38,5,9
122,Deshaun Watson,QB,CLE,10,21,3,10
123,Trey Benson,RB,ARI,11,39,5,10
124,Nick Chubb,RB,CLE,10,40,5,10
125,J.K. Dobbins,RB,LAC,5,41,5,10
126,Keon Coleman,WR,BUF,12,49,7,10
127,Baker Mayfield,QB,TB,11,22,3,10
128,Rashid Shaheed,WR,NO,12,50,7,10
129,Jakobi Meyers,WR,LV,10,51,7,10
130,Curtis Samuel,WR,BUF,12,52,7,10
131,Tyler Lockett,WR,SEA,10,53,7,10
132,Geno Smith,QB,SEA,10,23,3,10
133,Cole Kmet,TE,CHI,7,16,2,10
134,Blake Corum,RB,LAR,6,42,6,10
135,Mike Williams,WR,NYJ,12,54,7,10
136,Zach Charbonnet,RB,SEA,10,43,6,10
137,Brandin Cooks,WR,DAL,7,55,7,10
138,Chuba Hubbard,RB,CAR,11,44,6,10
139,Josh Palmer,WR,LAC,5,56,7,11
140,Romeo Doubs,WR,GB,10,57,8,11
141,Rico Dowdle,RB,DAL,7,45,6,11
142,Hunter Henry,TE,NE,14,17,3,11
143,Ty Chandler,RB,MIN,6,46,6,11
144,Luke Musgrave,TE,GB,10,18,3,11
145,Tyler Allgeier,RB,ATL,12,47,6,11
146,Jaleel McLaughlin,RB,DEN,14,48,6,11
147,Gabe Davis,WR,JAC,12,58,8,11
148,Jerry Jeudy,WR,CLE,10,59,8,11
149,Dontayvion Wicks,WR,GB,10,60,8,11
150,Khalil Shakir,WR,BUF,12,61,8,11
151,MarShawn Lloyd,RB,GB,10,49,7,11
152,Antonio Gibson,RB,NE,14,50,7,11
153,Jaylen Wright,RB,MIA,6,51,7,11
154,Sam Darnold,QB,MIN,6,24,4,11
155,Derek Carr,QB,NO,12,25,4,11
156,Will Levis,QB,TEN,5,26,4,11
157,Daniel Jones,QB,NYG,11,27,4,11
158,Josh Downs,WR,IND,14,62,8,11
159,Jahan Dotson,WR,WSH,14,63,8,11
160,Demario Douglas,WR,NE,14,64,8,11
161,Kendre Miller,RB,NO,12,52,7,12
162,Khalil Herbert,RB,CHI,7,53,7,12
163,Ravens D/ST,D/ST,BAL,14,1,1,12
164,Bryce Young,QB,CAR,11,28,4,12
165,49ers D/ST,D/ST,SF,9,2,1,12
166,Adonai Mitchell,WR,IND,14,65,8,12
167,Jets D/ST,D/ST,NYJ,12,3,1,12
168,Cowboys D/ST,D/ST,DAL,7,4,1,12
169,Elijah Mitchell,RB,SF,9,54,7,12
170,Ja'Lynn Polk,WR,NE,14,66,9,12
171,Adam Thielen,WR,CAR,11,67,9,12
172,Browns D/ST,D/ST,CLE,10,5,1,12
173,Darnell Mooney,WR,ATL,12,68,9,12
174,Cade Otton,TE,TB,11,19,3,12
175,Noah Fant,TE,SEA,10,20,3,12
176,Ben Sinnott,TE,WSH,14,21,3,12
177,Michael Wilson,WR,ARI,11,69,9,12
178,Xavier Legette,WR,CAR,11,70,9,12
179,Rashod Bateman,WR,BAL,14,71,9,12
180,Ray Davis,RB,BUF,12,55,7,13
181,Marvin Mims,WR,DEN,14,72,9,13
182,Tyler Conklin,TE,NYJ,12,22,3,13
183,Roschon Johnson,RB,CHI,7,56,7,13
184,Russell Wilson,QB,PIT,9,29,4,13
185,Taysom Hill,QB,NO,12,30,4,13
186,Steelers D/ST,D/ST,PIT,9,6,1,13
187,Chiefs D/ST,D/ST,KC,6,7,1,13
188,Dameon Pierce,RB,HOU,14,57,7,13
189,Jermaine Burton,WR,CIN,12,73,10,13
190,Wan'Dale Robinson,WR,NYG,11,74,10,13
191,Justin Tucker,K,BAL,14,1,1,13
192,Juwan Johnson,TE,NO,12,23,3,13
193,Bills D/ST,D/ST,BUF,12,8,1,13
194,Isaiah Likely,TE,BAL,14,24,3,13
195,Brandon Aubrey,K,DAL,7,2,1,13
196,Chigoziem Okonkwo,TE,TEN,5,25,3,13
197,Harrison Butker,K,KC,6,3,1,13
198,Texans D/ST,D/ST,HOU,14,9,2,13
199,Eagles D/ST,D/ST,PHI,5,10,2,13
200,Saints D/ST,D/ST,NO,12,11,2,13
201,Ricky Pearsall,WR,SF,9,75,10,13
202,Jason Sanders,K,MIA,6,4,1,13
203,Dolphins D/ST,D/ST,MIA,6,12,2,13
204,Troy Franklin,WR,DEN,14,76,10,13
205,Roman Wilson,WR,PIT,9,77,10,13
206,Quentin Johnston,WR,LAC,5,78,10,14
207,Tyler Bass,K,BUF,12,5,1,14
208,Ka'imi Fairbairn,K,HOU,14,6,1,14
209,Demarcus Robinson,WR,LAR,6,79,10,14
210,Bucky Irving,RB,TB,11,58,8,14
211,Jake Moody,K,SF,9,7,1,14
212,Jake Elliott,K,PHI,5,8,1,14
213,Younghoe Koo,K,ATL,12,9,2,14
214,Bears D/ST,D/ST,CHI,7,13,2,14
215,Alexander Mattison,RB,LV,10,59,8,14
216,D'Onta Foreman,RB,CLE,10,60,8,14
217,Darius Slayton,WR,NYG,11,80,10,14
218,Malachi Corley,WR,NYJ,12,81,11,14
219,Elijah Moore,WR,CLE,10,82,11,14
220,Javon Baker,WR,NE,14,83,11,14
221,Jalen McMillan,WR,TB,11,84,11,14
222,Audric Estime,RB,DEN,14,61,8,14
223,Evan McPherson,K,CIN,12,10,2,14
224,Braelon Allen,RB,NYJ,12,62,8,14
225,Tucker Kraft,TE,GB,10,26,4,14
226,Kimani Vidal,RB,LAC,5,63,8,14
227,AJ Dillon,RB,GB,10,64,8,14
228,Keaton Mitchell,RB,BAL,14,65,9,14
229,Jalin Hyatt,WR,NYG,11,85,11,14
230,Bo Nix,QB,DEN,14,31,4,14
231,Mike Gesicki,TE,CIN,12,27,4,14
232,Tyrone Tracy,RB,NYG,11,66,9,14
233,Kenneth Gainwell,RB,PHI,5,67,9,14
234,Clyde Edwards-Helaire,RB,KC,6,68,9,14
235,Matt Gay,K,IND,14,11,2,14
236,Miles Sanders,RB,CAR,11,69,9,14
237,Tank Bigsby,RB,JAC,12,70,9,14
238,Jelani Woods,TE,IND,14,28,4,14
239,Ja'Tavion Sanders,TE,CAR,11,29,4,14
240,Drake Maye,QB,NE,14,32,4,14
241,Cameron Dicker,K,LAC,5,12,2,14
242,Kendrick Bourne,WR,NE,14,86,11,14
243,Jamaal Williams,RB,NO,12,71,9,14
244,Dustin Hopkins,K,CLE,10,13,2,14
245,DJ Chark,WR,LAC,5,87,11,14
246,Colts D/ST,D/ST,IND,14,14,2,14
247,Tyler Boyd,WR,TEN,5,88,11,14
248,Justice Hill,RB,BAL,14,72,9,14
249,Vikings D/ST,D/ST,MIN,6,15,2,14
250,Andrei Iosivas,WR,CIN,12,89,12,14
251,Jalen Tolbert,WR,DAL,7,90,12,14
252,Luke McCaffrey,WR,WSH,14,91,12,14
253,Zay Jones,WR,ARI,11,92,12,14
254,K.J. Osborn,WR,NE,14,93,12,14
255,Rondale Moore,WR,ATL,12,94,12,14
256,A.T. Perry,WR,NO,12,95,12,14
257,Michael Mayer,TE,LV,10,30,4,14
258,Jason Myers,K,SEA,10,14,2,14
259,Cairo Santos,K,CHI,7,15,2,14
260,Treylon Burks,WR,TEN,5,96,12,14
261,Justin Fields,QB,PIT,9,33,5,14
262,Jonnu Smith,TE,MIA,6,31,4,14
263,Lions D/ST,D/ST,DET,5,16,2,14
264,Dawson Knox,TE,BUF,12,32,4,14
265,Will Shipley,RB,PHI,5,73,10,14
266,Jonathan Mingo,WR,CAR,11,97,12,14
267,Daniel Carlson,K,LV,10,16,2,14
268,Devontez Walker,WR,BAL,14,98,12,14
269,Gardner Minshew,QB,LV,10,34,5,14
270,Samaje Perine,RB,DEN,14,74,10,14
271,Jaguars D/ST,D/ST,JAC,12,17,3,14
272,Jacob Cowing,WR,SF,9,99,13,14
273,Brenden Rice,WR,LAC,5,100,13,14
274,Tim Patrick,WR,DEN,14,101,13,14
275,Jauan Jennings,WR,SF,9,102,13,14
276,Josh Reynolds,WR,DEN,14,103,13,14
277,Alec Pierce,WR,IND,14,104,13,14
278,Zach Ertz,TE,WSH,14,33,5,14
279,Greg Dulcich,TE,DEN,14,34,5,14
280,Trey Sermon,RB,IND,14,75,10,14
281,Trey Palmer,WR,TB,11,105,13,14
282,Bengals D/ST,D/ST,CIN,12,18,3,14
283,Gerald Everett,TE,CHI,7,35,5,14
284,Dylan Laube,RB,LV,10,76,10,14
285,Jordan Mason,RB,SF,9,77,10,14
286,Broncos D/ST,D/ST,DEN,14,19,3,14
287,Cedric Tillman,WR,CLE,10,106,13,14
288,Evan Hull,RB,IND,14,78,10,14
289,Aidan O'Connell,QB,LV,10,35,5,14
290,J.J. McCarthy,QB,MIN,6,36,5,14
291,Isaac Guerendo,RB,SF,9,79,10,14
292,Tyler Higbee,TE,LAR,6,36,5,14
293,Kadarius Toney,WR,KC,6,107,13,14
294,Blake Grupe,K,NO,12,17,3,14
295,Deuce Vaughn,RB,DAL,7,80,10,14
296,Chris Rodriguez,RB,WSH,14,81,11,14
297,Jeff Wilson,RB,MIA,6,82,11,14
298,Michael Carter,RB,ARI,11,83,11,14
299,Pierre Strong,RB,CLE,10,84,11,14
300,D'Ernest Johnson,RB,JAC,12,85,11,14
301,Israel Abanikanda,RB,NYJ,12,86,11,14
302,Greg Zuerlein,K,NYJ,12,18,3,14
303,Cordarrelle Patterson,RB,PIT,9,87,11,14
304,Packers D/ST,D/ST,GB,10,20,3,14
305,Eric Gray,RB,NYG,11,88,11,14
306,Jacoby Brissett,QB,NE,14,37,5,14
307,Daniel Bellinger,TE,NYG,11,37,5,14
308,Colby Parkinson,TE,LAR,6,38,5,14
309,Odell Beckham,WR,MIA,6,108,14,14
310,Greg Dortch,WR,ARI,11,109,14,14
311,Theo Johnson,TE,NYG,11,39,5,14
312,Patriots D/ST,D/ST,NE,14,21,3,14
313,Chase Edmonds,RB,TB,11,89,12,14
314,Raiders D/ST,D/ST,LV,10,22,3,14
315,Emari Demercado,RB,ARI,11,90,12,14
316,Hayden Hurst,TE,LAC,5,40,5,14
317,Tyler Scott,WR,CHI,7,110,14,14
318,Isaiah Spiller,RB,LAC,5,91,12,14
319,Kareem Hunt,RB,FA,0,92,12,14
320,Cam Akers,RB,HOU,14,93,12,14
321,Robert Woods,WR,HOU,14,111,14,14
322,Ronnie Rivers,RB,LAR,6,94,12,14
323,Rasheen Ali,RB,BAL,14,95,12,14
324,Deneric Prince,RB,KC,6,96,12,14
325,Michael Penix,QB,ATL,12,38,5,14
326,Jerick McKinnon,RB,FA,0,97,13,14
327,Royce Freeman,RB,DAL,7,98,13,14
328,Kalif Raymond,WR,DET,5,112,14,14
329,Michael Thomas,WR,FA,0,113,14,14
330,Noah Brown,WR,HOU,14,114,14,14
331,Tutu Atwell,WR,LAR,6,115,15,14
332,Dalvin Cook,RB,FA,0,99,13,14
333,Nelson Agholor,WR,BAL,14,116,15,14
334,Tre Tucker,WR,LV,10,117,15,14
335,Marquez Valdes-Scantling,WR,BUF,12,118,15,15
336,Allen Lazard,WR,NYJ,12,119,15,15
337,Donald Parham,TE,LAC,5,41,6,15
338,Malik Washington,WR,MIA,6,120,15,15
339,Sam Howell,QB,SEA,10,39,5,15
340,Salvon Ahmed,RB,MIA,6,100,13,15
341,Joshua Kelley,RB,NYG,11,101,13,15
342,Bo Melton,WR,GB,10,121,15,15
343,Calvin Austin III,WR,PIT,9,122,15,15
344,JuJu Smith-Schuster,WR,FA,0,123,16,15
345,Matt Breida,RB,SF,9,102,13,15
346,Xavier Gipson,WR,NYJ,12,124,16,15
347,Logan Thomas,TE,FA,0,42,6,15
348,Buccaneers D/ST,D/ST,TB,11,23,3,15
349,Donovan Peoples-Jones,WR,DET,5,125,16,15
350,Jawhar Jordan,RB,HOU,14,103,13,15
351,Van Jefferson,WR,PIT,9,126,16,15
352,Drew Lock,QB,NYG,11,40,5,15
353,Erick All,TE,CIN,12,43,6,15
354,Ty Johnson,RB,BUF,12,104,13,15
355,Noah Gray,TE,KC,6,44,6,15
356,Isaiah Davis,RB,NYJ,12,105,14,15
357,Kylen Granson,TE,IND,14,45,6,15
358,Rams D/ST,D/ST,LAR,6,24,3,15
359,Tanner Hudson,TE,CIN,12,46,6,15
360,Joe Flacco,QB,IND,14,41,6,15
361,Will Dissly,TE,LAC,5,47,6,15
362,Parris Campbell,WR,PHI,5,127,16,15
363,Craig Reynolds,RB,DET,5,106,14,15
364,Skyy Moore,WR,KC,6,128,16,15
365,John Metchie III,WR,HOU,14,129,16,15
366,Giants D/ST,D/ST,NYG,11,25,4,15
367,Keaontay Ingram,RB,KC,6,107,14,15
368,Wil Lutz,K,DEN,14,19,3,15
369,Jameis Winston,QB,CLE,10,42,6,15
370,Brandon Powell,WR,MIN,6,130,17,15
371,Davis Allen,TE,LAR,6,48,6,15
372,Cedrick Wilson,WR,NO,12,131,17,15
373,Brevin Jordan,TE,HOU,14,49,7,15
374,Seahawks D/ST,D/ST,SEA,10,26,4,15
375,Parker Washington,WR,JAC,12,132,17,15
376,Matt Prater,K,ARI,11,20,3,15
377,Greg Joseph,K,GB,10,21,3,15
378,Latavius Murray,RB,FA,0,108,14,15
379,Chris Boswell,K,PIT,9,22,3,15
380,Jeremy Ruckert,TE,NYJ,12,50,7,15
381,Johnny Wilson,WR,PHI,5,133,17,15
382,Hunter Renfrow,WR,FA,0,134,17,15
383,Panthers D/ST,D/ST,CAR,11,27,4,15
384,Brandon McManus,K,FA,0,23,3,15
385,Justin Watson,WR,KC,6,135,17,15
386,Ainias Smith,WR,PHI,5,136,17,15
387,Cade Stover,TE,HOU,14,51,7,15
388,Blake Watson,RB,DEN,14,109,14,15
389,Kenny Pickett,QB,PHI,5,43,6,15
390,Jake Bates,K,DET,5,24,3,15
391,Chargers D/ST,D/ST,LAC,5,28,4,15
392,Anders Carlson,K,GB,10,25,4,15
393,Graham Gano,K,NYG,11,26,4,15
394,Chase McLaughlin,K,TB,11,27,4,15
395,Kenny McIntosh,RB,SEA,10,110,14,15
396,Jaheim Bell,TE,NE,14,52,7,15
397,Sean Tucker,RB,TB,11,111,14,15
398,Jase McClellan,RB,ATL,12,112,14,15
399,Josh Oliver,TE,MIN,6,53,7,15
400,Nyheim Hines,RB,CLE,10,113,15,15
401,Jarrett Stidham,QB,DEN,14,44,6,15
402,Cam Little,K,JAC,12,28,4,15
403,Chase Claypool,WR,BUF,12,137,18,15
404,Johnny Mundt,TE,MIN,6,54,7,15
405,Falcons D/ST,D/ST,ATL,12,29,4,15
406,Commanders D/ST,D/ST,WSH,14,30,4,15
407,Tommy Tremble,TE,CAR,11,55,7,15
408,Ray-Ray McCloud III,WR,ATL,12,138,18,15
409,Mack Hollins,WR,BUF,12,139,18,15
410,Charlie Jones,WR,CIN,12,140,18,15
411,Riley Patterson,K,WSH,14,29,4,15
412,Trenton Irwin,WR,CIN,12,141,18,15
413,Eddy Pineiro,K,CAR,11,30,4,15
414,Darnell Washington,TE,PIT,9,56,7,15
415,Jake Browning,QB,CIN,12,45,6,15
416,KaVontae Turpin,WR,DAL,7,142,18,15
417,Quez Watkins,WR,PIT,9,143,18,15
418,Zach Evans,RB,LAR,6,114,15,15
419,Foster Moreau,TE,NO,12,57,8,15
420,Jaret Patterson,RB,LAC,5,115,15,15
421,Ryan Flournoy,WR,DAL,7,144,18,15
422,Braxton Berrios,WR,MIA,6,145,19,15
423,Mac Jones,QB,JAC,12,46,6,15
424,Kevin Harris,RB,NE,14,116,15,15
425,Terrace Marshall,WR,CAR,11,146,19,15
426,Will Reichard,K,MIN,6,31,4,15
427,Isaiah McKenzie,WR,NYG,11,147,19,15
428,Lucas Krull,TE,DEN,14,58,8,15
429,Ameer Abdullah,RB,LV,10,117,15,15
430,Casey Washington,WR,ATL,12,148,19,15
431,Nick Folk,K,TEN,5,32,4,15
432,Kyle Juszczyk,RB,SF,9,118,15,15
433,Adam Trautman,TE,DEN,14,59,8,15
434,Tyquan Thornton,WR,NE,14,149,19,15
435,David Bell,WR,CLE,10,150,19,15
436,Tyler Goodson,RB,IND,14,119,15,15
437,Ian Thomas,TE,CAR,11,60,8,15
438,Jake Bobo,WR,SEA,10,151,19,15
439,Nick Westbrook-Ikhine,WR,TEN,5,152,19,15
440,Mecole Hardman,WR,KC,6,153,20,15
441,Trayveon Williams,RB,CIN,12,120,15,15
442,Jalen Nailor,WR,MIN,6,154,20,15
443,Chris Moore,WR,ARI,11,155,20,15
444,Austin Hooper,TE,NE,14,61,8,15
445,Jamari Thrash,WR,CLE,10,156,20,15
446,Jared Wiley,TE,KC,6,62,8,15
447,Luke Schoonmaker,TE,DAL,7,63,8,15
448,Cody Schrader,RB,SF,9,121,16,15
449,Frank Gore,RB,BUF,12,122,16,15
450,Malik Davis,RB,DAL,7,123,16,15
